name,area,category,section,price
整租·佳兆业城市广场五期 4室2厅 南/北,91.0,4,佳兆业城市广场五期,6800
整租·弘都世纪公寓 2室1厅 北,46.0,2,弘都世纪公寓,5500
整租·万科时代广场 1室1厅 东,44.74,1,万科时代广场,2900
整租·名居广场 2室1厅 东南,60.0,2,名居广场,3399
整租·中粮祥云 1室0厅 东南,36.64,1,中粮祥云,2266
整租·碧桂园观麓花园 3室1厅 南,78.0,3,碧桂园观麓花园,3650
整租·金海岸大厦 1室1厅 西,36.36,1,金海岸大厦,4700
整租·招商前海·领尚公馆 1室0厅 东北,41.0,1,招商前海·领尚公馆,5459
整租·泛海城市广场 1室0厅 东南,39.0,1,泛海城市广场,4635
整租·世茂深港国际中心 1室0厅 北,38.0,1,世茂深港国际中心,2266
整租·金海岸大厦 1室1厅 北,43.0,1,金海岸大厦,4700
整租·世茂深港国际中心 2室1厅 南,62.33,2,世茂深港国际中心,3100
整租·栖游记 1室0厅 东,31.13,1,栖游记,4000
整租·佳兆业未来时代大厦 1室0厅 东南,42.0,1,佳兆业未来时代大厦,2575
整租·南方国际广场 1室0厅 东北,36.26,1,南方国际广场,4120
整租·南油B区 1室1厅 南,38.0,1,南油B区,4100
整租·花园城三期 1室0厅 北,48.0,1,花园城三期,6500
整租·金海岸大厦 1室1厅 东,37.0,1,金海岸大厦,4800
整租·皇御苑四期 1室1厅 东/东北,58.16,1,皇御苑四期,6200
整租·桐林公寓 1室0厅 东北,23.06,1,桐林公寓,3150
整租·中洲滨海华府一期 1室1厅 南,35.81,1,中洲滨海华府一期,4515
整租·金中环国际商务大厦 1室0厅 南,29.8,1,金中环国际商务大厦,4635
整租·中粮创芯公园 3室2厅 西南,57.2,3,中粮创芯公园,6000
整租·远洋滨海大厦 1室0厅 西北/北,39.0,1,远洋滨海大厦,5150
整租·旭飞华安园 1室0厅 南,21.55,1,旭飞华安园,2850
整租·华润城润府三期 1室0厅 南,40.0,1,华润城润府三期,6150
整租·桃苑公寓 1室1厅 南,23.0,1,桃苑公寓,2575
整租·合景同创广场 3室2厅 东南,98.0,3,合景同创广场,5500
整租·高发公寓 1室0厅 南,22.01,1,高发公寓,2987
整租·正兆 · 茗语华苑 2室2厅 东/东南,65.0,2,正兆,2266
