name,area,category,section,price,East,West,South,North,Southeast,Southwest,Northwest,Northeast
整租·信达金茂广场 2室2厅 复式 南,48.56,2,信达金茂广场,5300,0,0,1,0,0,0,0,0
独栋·越秀星寓 珠江新城店 近妇儿中心眼科医院丨可短租丨长租特价丨国企直租丨押一付一 开间,20.0,,越秀星寓,4040,0,0,0,0,0,0,0,0
整租·岭南新世界 3室2厅 西南,98.0,3,岭南新世界,4200,0,1,1,0,0,1,0,0
独栋·越秀星寓 珠江新城店 近周大福金融中心丨无中介费丨独立厨卫丨大阳台单间丨民水民电 开间,45.0,,越秀星寓,7000,0,0,0,0,0,0,0,0
整租·南洲名苑 2室1厅 北,62.34,2,南洲名苑,3700,0,0,1,1,0,0,0,0
独栋·华润置地·有巢公寓 设计之都店 短租特惠 押一付一 免管理费 黄边站300米 阳光大单间 开间,40.0,,华润置地·有巢公寓,2674,0,0,0,0,0,0,0,0
整租·琶洲新村 2室1厅 北,89.0,2,琶洲新村,5800,0,0,0,1,0,0,0,0
独栋·WowWay公寓 北京路店 【可短租】能养猫！舒适通透房！双地铁覆盖押一付一 1室1厅,17.0,1,WowWay公寓,2500,0,0,0,1,0,0,0,0
整租·锦绣新天地 3室2厅 北,90.0,3,锦绣新天地,2100,0,0,0,1,0,0,0,0
独栋·WowWay公寓 北京路店 【住在北京路】阳光大户型！押一付一！近地铁 1室1厅,28.0,1,WowWay公寓,3340,0,0,0,1,0,0,0,0
整租·恒利翠竹苑 2室2厅 北,85.0,2,恒利翠竹苑,3500,0,0,0,1,0,0,0,0
独栋·奇莫服务式公寓 科学城 （不短租）采光好 可开发票 可养宠物 自有物业 首次出租 国企管理 1室1厅,79.0,1,奇莫服务式公寓,5950,0,0,0,0,0,0,0,0
整租·同和实业联社宿舍 3室2厅 南,90.0,3,同和实业联社宿舍,3900,0,0,1,0,0,0,0,0
独栋·龙湖冠寓 广州科学城店 特价房大窗房1字头起租 采光足 独栋28楼高视野差旅房 可开票报销 开间,30.0,,龙湖冠寓,1995,0,0,0,0,0,0,0,0
整租·荔德新都汇 1室1厅 南/北,48.0,1,荔德新都汇,1700,0,0,1,1,0,0,0,0
独栋·金地草莓社区 滨江品牌公寓 中大学生特价单间 近西北门 独卫厨房家电齐全电梯公寓无中介费 开间,28.0,,金地草莓社区,1900,0,1,0,1,0,0,1,0
整租·金碧新城 3室2厅 南,106.4,3,金碧新城,4500,0,0,1,0,0,0,0,0
独栋·金地草莓社区 滨江品牌公寓 长租 免租半月 独栋安全两房一厅可做饭 民水民电押一付一无中介费独栋电梯公寓 2室1厅,38.0,2,金地草莓社区,2900,0,0,0,0,0,0,0,0
整租·珠江国际城 3室2厅 南,121.94,3,珠江国际城,1400,0,0,1,0,0,0,0,0
独栋·越秀星寓 珠江新城店 近花城广场丨可短租丨近地铁口丨国企直租丨性价比单间 开间,15.0,,越秀星寓,4048,0,0,0,0,0,0,0,0
整租·东方名都花园 3室2厅 北,83.57,3,东方名都花园,2700,1,0,0,1,0,0,0,0
独栋·华润置地·有巢公寓 科学城店 黄埔区 科学城商圈  采光大单间 可短租 开间,41.0,,华润置地·有巢公寓,2849,0,0,0,0,0,0,0,0
整租·绿地空港国际中心 2室1厅 南,46.0,2,绿地空港国际中心,2300,0,0,1,0,0,0,0,0
独栋·映寓公寓 厦滘店 【厦滘地铁口500M】精装轻奢风一房一厅！拎包入住！民水民电非城中村 1室1厅,33.52,1,映寓公寓,2300,0,0,0,0,0,0,0,0
独栋·映寓公寓 厦滘店 【3号线】厦滘精装日系简约风大单间 独立阳台 拎包入住 地铁500米民水电 1室1厅,33.0,1,映寓公寓,2000,0,0,0,0,0,0,0,0
