name,area,category,section,price,East,West,South,North,Southeast,Southwest,Northwest,Northeast
整租·绿地城际空间站 3室1厅 南/北,119.0,3,绿地城际空间站,1200,0,0,1,1,0,0,0,0
合租·沛县路 5居室 南卧,20.0,,沛县路,1200,0,0,1,0,0,0,0,0
整租·银盛泰星河城三期 2室1厅 南/北,75.0,2,银盛泰星河城三期,1100,0,0,1,1,0,0,0,0
合租·沛县路 5居室 南卧,20.0,,沛县路,750,0,0,1,0,0,0,0,0
整租·东湖郡 2室2厅 南/北,94.72,2,东湖郡,1350,1,0,1,1,0,0,0,0
合租·辽源路 4居室 南卧,15.0,,辽源路,501,0,0,1,0,0,0,0,0
整租·智慧之城一期 2室1厅 南/北,81.54,2,智慧之城一期,1300,0,0,1,1,0,0,0,0
合租·浮山后五小区 5居室 南卧,8.0,,浮山后五小区,501,0,0,1,0,0,0,0,0
整租·天一仁和宸璟朗樾 3室2厅 南,91.26,3,天一仁和宸璟朗樾,1000,0,0,1,0,0,0,0,0
合租·浮山后五小区 5居室 南卧,10.0,,浮山后五小区,501,0,0,1,0,0,0,0,0
整租·华地仟佰墅 2室1厅 南,80.0,2,华地仟佰墅,1750,0,0,1,0,0,0,0,0
合租·东仲小区 3居室 南卧,20.0,,东仲小区,650,1,0,1,0,0,0,0,0
整租·院后庄社区 2室1厅 南,80.0,2,院后庄社区,1000,0,0,1,0,0,0,0,0
合租·欣宇花园 5居室 南卧,10.0,,欣宇花园,501,0,0,1,0,0,0,0,0
整租·TAHA时区 3室1厅 南,95.0,3,TAHA时区,1500,0,0,1,0,0,0,0,0
整租·招商碧桂园依云四季 1室1厅 南,40.84,1,招商碧桂园依云四季,2300,0,0,1,0,0,0,0,0
整租·金水龙泽苑西区 2室1厅 南/北,86.71,2,金水龙泽苑西区,2000,0,1,1,1,0,0,0,0
合租·兴隆家园 5居室 南卧,10.0,,兴隆家园,501,0,0,1,0,0,0,0,0
整租·新澳国际 3室2厅 南/北,116.0,3,新澳国际,3600,0,0,1,1,0,0,0,0
整租·银盛泰泰馨苑 3室1厅 南,86.0,3,银盛泰泰馨苑,2500,0,0,1,0,0,0,0,0
整租·那鲁湾公寓 1室1厅 北,54.43,1,那鲁湾公寓,850,0,0,0,1,0,0,0,0
合租·如意小区 5居室 南卧,8.0,,如意小区,501,0,0,1,0,0,0,0,0
整租·衡山学府 2室1厅 南/北,82.43,2,衡山学府,1500,0,0,1,1,0,0,0,0
合租·安达路11号 5居室 南卧,15.0,,安达路11号,501,0,0,1,0,0,0,0,0
整租·汇英名郡住宅小区 3室2厅 南,99.05,3,汇英名郡住宅小区,1350,0,0,1,0,0,0,0,0
合租·颐景园 5居室 南卧,15.0,,颐景园,501,0,0,1,0,0,0,0,0
整租·双凤山小区 3室1厅 南/北,92.88,3,双凤山小区,1100,0,0,1,1,0,0,0,0
合租·金水苑小区 4居室 南卧,12.0,,金水苑小区,501,0,0,1,0,0,0,0,0
整租·天泰金融广场B座 1室1厅 东南,50.56,1,天泰金融广场B座,3600,1,0,1,0,1,0,0,0
合租·丽海花园 5居室 南卧,15.0,,丽海花园,650,0,0,1,0,0,0,0,0
整租·龙湖滟澜海岸澜庭 3室1厅 南,100.01,3,龙湖滟澜海岸澜庭,1600,0,0,1,0,0,0,0,0
合租·齐东路 3居室 南卧,12.0,,齐东路,550,1,0,1,0,0,0,0,0
整租·金地置业小区 2室1厅 南/北,87.0,2,金地置业小区,1200,0,0,1,1,0,0,0,0
合租·星海苑一期 4居室 复式 南卧,18.0,,星海苑一期,850,0,0,1,0,0,0,0,0
整租·文富居 3室1厅 南,130.0,3,文富居,1750,0,0,1,0,0,0,0,0
合租·新贵都三期 5居室 南卧,28.0,,新贵都三期,840,0,0,1,0,0,0,0,0
整租·辽阳西路 2室1厅 南/北,84.01,2,辽阳西路,2600,0,1,1,1,0,0,0,0
合租·青建天怡景园A区 5居室 北卧,15.0,,青建天怡景园A区,501,0,0,0,1,0,0,0,0
整租·王戈庄鑫城A区 3室2厅 南/北,100.0,3,王戈庄鑫城A区,1200,0,0,1,1,0,0,0,0
合租·汕头路1号 4居室 南卧,16.0,,汕头路1号,1050,0,0,1,0,0,0,0,0
整租·新城红岛湾盛昱 4室2厅 南/北,170.0,4,新城红岛湾盛昱,2100,0,0,1,1,0,0,0,0
合租·中海国际社区河南回迁户 4居室 南卧,20.0,,中海国际社区河南回迁户,1300,0,0,1,0,0,0,0,0
整租·炜伦二号公馆小区 3室1厅 南/北,88.0,3,炜伦二号公馆小区,1500,0,0,1,1,0,0,0,0
合租·香港花园碧瑶湾 5居室 复式 南卧,25.0,,香港花园碧瑶湾,660,0,0,1,0,0,0,0,0
整租·万科城多伦多街区 2室2厅 南,88.85,2,万科城多伦多街区,3500,0,0,1,0,0,0,0,0
整租·新城红岛湾盛昱 4室2厅 南,172.15,4,新城红岛湾盛昱,2000,0,0,1,0,0,0,0,0
整租·奥林春天 3室2厅 南/北,126.0,3,奥林春天,1050,0,0,1,1,0,0,0,0
合租·青建天怡景园A区 5居室 北卧,16.0,,青建天怡景园A区,501,0,0,0,1,0,0,0,0
整租·文富居 2室1厅 南,84.0,2,文富居,1250,0,0,1,0,0,0,0,0
整租·黄海悦府 2室1厅 南/北,76.1,2,黄海悦府,2000,0,0,1,1,0,0,0,0
整租·莱茵公馆 4室1厅 南/北,150.66,4,莱茵公馆,3500,0,0,1,1,0,0,0,0
合租·玉金花园 5居室 南卧,12.0,,玉金花园,600,0,0,1,0,0,0,0,0
整租·盛世景园 3室2厅 南,135.18,3,盛世景园,1450,0,0,1,0,0,0,0,0
合租·金华公寓 5居室 东卧,10.0,,金华公寓,501,1,0,0,0,0,0,0,0
整租·花样年·碧云湾（上合示范区） 3室2厅 南,97.87,3,花样年·碧云湾（上合示范区）,1000,0,0,1,0,0,0,0,0
合租·翡翠公元 4居室 南卧,30.0,,翡翠公元,750,0,0,1,0,0,0,0,0
