name,area,category,section,price,East,West,South,North,Southeast,Southwest,Northwest,Northeast
独栋·浦发有家·漫柏臻享社区 漫柏臻享社区 轻奢全阳户型 拎包入住 管家直租 开市客山姆万达商圈 2室2厅,100.0,2,浦发有家·漫柏臻享社区,8700,0,0,0,0,0,0,0,0
独栋·浦发有家·漫柏臻享社区 漫柏臻享社区 原木三房 官方直租 民水民电 拎包入住 管家服务 宠物友好 免费健身 近万达 3室2厅,100.0,3,浦发有家·漫柏臻享社区,8700,0,0,0,0,0,0,0,0
独栋·贝壳新青年公寓 龙漕路地铁站店 精装复式 带衣柜 做饭 月付无压力 1室1厅,18.0,1,贝壳新青年公寓,3040,0,0,0,0,0,0,0,0
独栋·方隅服务公寓 上海颛桥方隅公寓B店 【限时首月5折】近地铁 免费健身房 包网络宽带 免费健身 1室1厅,32.0,1,方隅服务公寓,3800,0,0,0,0,0,0,0,0
独栋·方隅服务公寓 上海颛桥方隅公寓B店 【长租限时8折】紫竹高新区 朝南向阳落地窗 免费健身房 租期维修 1室1厅,32.0,1,方隅服务公寓,3664,0,0,1,0,0,0,0,0
独栋·方隅服务公寓 上海颛桥方隅公寓B店 【春节特价房】地铁口 近海梦一方 拎包入住 免费健身房 1室1厅,32.0,1,方隅服务公寓,3872,0,0,0,0,0,0,0,0
独栋·贝壳新青年公寓 龙漕路地铁站店 温馨奶油风 可住港澳台 可短租 1室1厅,23.0,1,贝壳新青年公寓,4000,0,0,0,0,0,0,0,0
独栋·华润置地·有巢公寓 悦虹人才公寓吴中路店 【整租优选】干湿分离！独立客厅！全新家具家电! 1室1厅,47.0,1,华润置地·有巢公寓,5336,0,0,0,0,0,0,0,0
独栋·华润置地·有巢公寓 悦虹人才公寓吴中路店 近爱琴海！万象城！三室大平层！客厅超大 3室2厅,166.0,3,华润置地·有巢公寓,15890,0,0,0,0,0,0,0,0
独栋·城家公寓 虹桥人才公寓 民用水电！可提公积金！可办居住证！带阳台！虹桥人才公寓 1室1厅,35.9,1,城家公寓,3607,0,0,0,0,0,0,0,0
独栋·城家公寓 虹桥人才公寓 携程旁！【虹桥人才公寓】民用水电！可办居住证！特价保租房！ 开间,33.07,,城家公寓,3615,0,0,0,0,0,0,0,0
独栋·城家公寓 虹桥人才公寓 带阳台！特价保租房！可提公积金！民用水电！虹桥人才公寓 开间,35.41,,城家公寓,3773,0,0,0,0,0,0,0,0
独栋·浦发有家 康桥社区 【一年起租】官方直租 0中介11号线 舒适小一居 开间,31.0,,浦发有家,2676,0,0,0,0,0,0,0,0
独栋·浦发有家 康桥社区 【一年起租】官方直租 0中介康桥舒适大一居室 1室1厅,37.0,1,浦发有家,3044,0,0,0,0,0,0,0,0
独栋·浦发有家 康桥社区 【一年起租】官方直租 0中介 温馨两室一厅 2室1厅,62.0,2,浦发有家,4984,0,0,0,0,0,0,0,0
独栋·柚米寓 上海松江西部科技园柚米社区 可短租！保租房直营 精美阳台房  通燃气 高性价比！ 1室1厅,45.0,1,柚米寓,2599,0,1,0,0,0,0,0,0
独栋·森邻寓 四平路地铁站店 可办居住证 民用水电 电梯温馨独居 双地铁直达人广、五角场 1室1厅,15.0,1,森邻寓,3170,0,0,0,0,0,0,0,0
独栋·森邻寓 四平路地铁站店 温馨整租一居室  近地铁 独厨独卫  可开发票 1室1厅,20.0,1,森邻寓,3790,0,0,0,0,0,0,0,0
独栋·贝壳新青年公寓 七宝旗舰店 七宝精装平层 拎包入住  可做饭 1室1厅,25.0,1,贝壳新青年公寓,2950,0,0,0,0,0,0,0,0
独栋·柚米寓 鑫悦阳光一期 轻奢阳台房 无中介费 民用水电 押一付一 1室1厅,30.0,1,柚米寓,1865,0,0,0,0,0,0,0,0
独栋·@HOME爱住 天空之城爱住自持精品公寓 万科自持、徐盈路地铁口精装、商场上盖、交通便利 1室1厅,31.0,1,@HOME爱住,4200,0,0,0,0,0,0,0,0
独栋·壹间公寓 上海南站店 【徐家汇商圈开业限时特惠】 月付朝南一居室全新出租 1室1厅,56.66,1,壹间公寓,6750,0,0,1,0,0,0,0,0
独栋·冠寓 上海北城天街店 国庆特价房丨商圈核心丨全景采光丨学生98折丨特惠房源 开间,36.0,,冠寓,2917,0,0,0,1,0,0,0,0
独栋·冠寓 上海北城天街店 宝山天街丨地铁特价房丨直租一室户丨押一付一丨落地窗采光 开间,36.0,,冠寓,2918,0,0,0,1,0,0,0,0
独栋·冠寓 上海谷阳北路二店 近地铁+近商场+拎包入住+长租优惠 1室1厅,24.0,1,冠寓,2307,0,0,0,1,0,0,0,0
独栋·安遇 杨浦店 新华医院/互联宝地/大悦城/江浦路地铁口/五角场 1室1厅,22.0,1,安遇,3250,0,0,0,0,0,0,0,0
独栋·柚米寓 华侨城店 冬日跨年送免租！班车接送！健身房 稀缺大榻榻米 1室1厅,28.0,1,柚米寓,1520,0,0,0,0,0,0,0,0
整租·迷你公馆 1室1厅 南,50.0,1,迷你公馆,4800,0,0,1,0,0,0,0,0
整租·圣鑫苑四期 3室2厅 南/北,124.08,3,圣鑫苑四期,8000,0,0,1,1,0,0,0,0
整租·丰舍东苑 2室2厅 南/北,86.03,2,丰舍东苑,4500,1,0,1,1,0,0,0,0
整租·迷你公馆 1室1厅 南,50.0,1,迷你公馆,4800,0,0,1,0,0,0,0,0
整租·建新小区 1室1厅 南,36.17,1,建新小区,4437,0,0,1,0,0,0,0,0
整租·丰舍东苑 2室2厅 南/北,86.03,2,丰舍东苑,4500,1,0,1,1,0,0,0,0
整租·圣鑫苑四期 3室2厅 南/北,124.08,3,圣鑫苑四期,8000,0,0,1,1,0,0,0,0
整租·和家欣苑B区 2室1厅 南,61.0,2,和家欣苑B区,4000,0,0,1,0,0,0,0,0
整租·华岑佳苑 2室1厅 南,82.0,2,华岑佳苑,5500,0,0,1,0,0,0,0,0
整租·博三小区 2室1厅 南,62.16,2,博三小区,4200,0,0,1,0,0,0,0,0
整租·紫叶花园 1室1厅 南,48.0,1,紫叶花园,5100,0,0,1,0,0,0,0,0
整租·冠生园路204-212号小区 1室1厅 南,52.81,1,冠生园路204-212号小区,5500,0,0,1,0,0,0,0,0
整租·永翔佳苑（东区478弄） 1室1厅 南,56.0,1,永翔佳苑（东区478弄）,3700,1,0,1,0,0,0,0,0
整租·同济佳苑 1室1厅 南,44.96,1,同济佳苑,5500,0,0,1,0,0,0,0,0
整租·鞍山四村第三小区 1室0厅 北,27.32,1,鞍山四村第三小区,3120,0,0,0,1,0,0,0,0
整租·广苑小区 1室1厅 南,40.52,1,广苑小区,3800,0,0,1,0,0,0,0,0
整租·乐山四五村 1室1厅 南,32.97,1,乐山四五村,5100,0,0,1,0,0,0,0,0
整租·智华苑 2室1厅 南,116.96,2,智华苑,5490,0,0,1,0,0,0,0,0
整租·明佳苑 3室2厅 东南,126.33,3,明佳苑,12750,1,0,1,0,1,0,0,0
整租·上理小区 2室0厅 南,46.0,2,上理小区,4080,0,0,1,0,0,0,0,0
整租·天和尚上海 3室2厅 南,138.86,3,天和尚上海,3500,0,0,1,0,0,0,0,0
