name,area,category,section,price
独栋·保利首开乐尚N+公寓 保利首开乐尚N+公寓11店 国央企直租无中介月付 南五环旧宫万源 温馨开间 民水民电 包取暖 开间,35.0,1,保利首开乐尚N+公寓,2785
独栋·柚米寓 南法信地铁站 限时特惠【LOFT两室】租期4个月起，无中介费直租，直达望京 2室1厅,50.0,2,柚米寓,3501
独栋·柚米寓 南法信地铁站 直租，无中介费，近地铁，可开发票，到店有礼 1室1厅,22.0,1,柚米寓,2249
独栋·柠檬晓生活国际公寓 7号线黄厂站店 （年底大促）静谧莲花 1室1厅,55.0,1,柠檬晓生活国际公寓,4300
独栋·保利首开欢乐N+公寓 保利首开欢乐大都汇3店 【限时秒杀】门头沟公寓国央企直租 包物业取暖S1地铁直达 开间,22.0,1,保利首开欢乐N+公寓,2117
独栋·保利首开欢乐N+公寓 保利首开欢乐大都汇3店 秒杀 国央企直租无中介费可短租S1小园地铁包物业取暖wifi 开间,20.0,1,保利首开欢乐N+公寓,1960
独栋·保利首开欢乐N+公寓 保利首开欢乐大都汇3店 门头沟国央企直租开间 S1地铁 月付 包物业取暖wifi 开间,22.0,1,保利首开欢乐N+公寓,2073
独栋·保利首开欢乐N+公寓 保利首开欢乐大都汇3店 国央企直租无中介费押一付一可短租 包物业取暖维修wifi 开间,27.0,1,保利首开欢乐N+公寓,2438
独栋·保利首开欢乐N+公寓 保利首开欢乐大都汇3店 国央企直租独栋整租近地铁无中介费月付房租 包物业取暖wifi 开间,24.0,1,保利首开欢乐N+公寓,2037
独栋·保利首开欢乐N+公寓 保利首开欢乐大都汇1店 央企直租近地铁小园站，24小时管家服务，租期灵活，可月付 开间,25.97,1,保利首开欢乐N+公寓,2438
独栋·保利首开欢乐N+公寓 保利首开欢乐大都汇1店 国央企直租，超低价促销，1居开间，拎包入住，近地铁 开间,24.56,1,保利首开欢乐N+公寓,2084
独栋·员宿 员宿北京大兴生物制药基地店 园区首选限时特惠 开间,25.0,1,员宿,1300
整租·南新园 1室1厅 LOFT 东,33.47,1,南新园,3600
整租·塔院小区 1室1厅 南,45.03,1,塔院小区,7460
整租·电建地产洺悦苑 2室1厅 东,89.0,2,电建地产洺悦苑,8430
整租·惠民家园二区 2室1厅 南,63.69,2,惠民家园二区,3230
整租·葛布店东里 2室1厅 南/北,64.22,2,葛布店东里,3400
整租·西辛南区 3室1厅 南/北,73.94,3,西辛南区,3600
整租·鹿海园五里 2室2厅 南,92.0,2,鹿海园五里,5000
整租·昌运宫 2室1厅 西北,50.0,2,昌运宫,5800
整租·新源时代 2室1厅 南/北,89.0,2,新源时代,4200
整租·天赐良园一期 2室1厅 南/北,70.66,2,天赐良园一期,4200
整租·华纺易城 3室2厅 南/北,128.0,3,华纺易城,10500
整租·林肯公园 3房间 南/北,57.0,0,林肯公园,7500
整租·首开康乃馨城 2室1厅 南/北,91.58,2,首开康乃馨城,4900
整租·佳和宜园 2室1厅 南,75.33,2,佳和宜园,2900
整租·古城南里 2室1厅 南,63.21,2,古城南里,4620
整租·中海金鑫阁 1室1厅 南,40.26,1,中海金鑫阁,5000
整租·宜品上层 1房间 南,58.05,0,宜品上层,5500
整租·中海城圣朝菲 3室2厅 南/北,136.78,3,中海城圣朝菲,11000
整租·杨闸新村 2室2厅 南,85.96,2,杨闸新村,4500
整租·蓝星花园 1室1厅 南,30.41,1,蓝星花园,3660
整租·右安门内西街1号院 1室1厅 南,49.53,1,右安门内西街1号院,5690
整租·西直门内大街237号 2室1厅 南,58.1,2,西直门内大街237号,8090
整租·荣上居 1室1厅 东,20.0,1,荣上居,5230
整租·陶然北岸 1室1厅 南,51.26,1,陶然北岸,8090
